Review,Sentiment
I stumbled upon this great pizzeria as I explored my new neighborhood.,Positive
"This is such a lovely, peaceful place to eat outside.",Positive
This place is the most Japanese it can ever get.,Positive
"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",Negative
We will be back.,Positive
Horrible.,Negative
"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent.",Positive
Its a go-to for dates as well as entertaining out of town guests.,Positive
We both opted for a pasta dish and they were served timely and fresh.,Positive
I went here in the afternoon with a friend.,Neutral
"Waitstaff is great, very attentive.",Positive
Warm and friendly in the winter and terrific outdoor seating in the warmer months.,Positive
"The wait staff is very friendly, if not overly efficient.",Positive
The buffet had a nice selection.,Positive
"i have eaten here a handful of times, for no reason besides sheer convenience.",Neutral
Will give it another chance before I write it off.,Neutral
"Grilled whole fish wonderful, great spicing.",Positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Positive
"Then, IF they answer the phone, you're lucky if they don't hang up on you!",Negative
They even scoop it out nice (for those on a diet) not too much not to little.,Positive
"When family came in he gave them apps to test their palets, and then ordered for them.",Neutral
"Moules were excellent, lobster ravioli was VERY salty!",Neutral
Deep Fried Skewers are good and still rare to find in NYC.,Positive
"If only they delivered, they'd make a mint!",Positive
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Neutral
I have eaten a lot of pizza here.,Neutral
My friends and I came across this place while walking in the village.,Neutral
The sake menu should not be overlooked!,Positive
moral stay away.,Negative
He has visited Thailand and is quite expert on the cuisine.,Positive
Have been dozens of times and never failed to enjoy the experience.,Positive
After the review I treked into Brooklyn.,Neutral
Service was also horrible and the ambience is not that great.,Negative
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Neutral
It is expensive but well worth the money.,Neutral
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,Positive
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,Positive
Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,Neutral
I am French and I really felt like home!!!,Positive
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",Neutral
Thanks Bloom's for a lovely trip.,Positive
The rest of the menu is limited by everything is good eats.,Neutral
I went to DF for Valentines Day dinner.,Neutral
The service is outstanding and my crab-cake eggs benedict could not have been better.,Positive
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,Neutral
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",Neutral
"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",Positive
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",Neutral
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",Neutral
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.,Positive
I guess the way my friends and I described it was The French Colonies.,Neutral
Saul is the best restaurant on Smith Street and in Brooklyn.,Positive
I felt as though I were eating in Paris.,Positive
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",Positive
The prices and ambience are especially great considering it's in the West Village.,Positive
"Just remember, the later you go, the longer you may have to wait.",Neutral
happy to be a regular at this place and would warmly recommend it to anyone.,Positive
I thought this place was totally overrated.,Negative
"A cool bar with great food, and tons of excellent beer.",Positive
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,Positive
I HATE HATE HATE this place.,Negative
The prices are about $9 for an entree for dinner and even less for lunch.,Neutral
"It's usually packed for good reason, esp.",Neutral
"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.",Neutral
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,Neutral
"In fact, two people could really share one plate.",Positive
"We concluded with tiramisu chocolate cake, both were delicious.",Positive
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",Neutral
My wife and I were in NYC celebrating our 30th anniversary.,Neutral
A little pricey but it really hits the spot on a Sunday morning!,Neutral
Also very inexpensive.,Positive
Unbelievable.,Positive
What a great place!,Positive
"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",Neutral
You could get a much better dining experience for the same amount of money in a lot of other French Bistros.,Negative
"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",Neutral
The only thing I could get attention from was one of at least two cats running around that kept batting at my table.,Negative
I consider the best Grand Sichuan restaurant in NYC.,Positive
The hostess is rude to the point of being offensive.,Negative
I hate this.,Negative
We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,Positive
Great place to grab a hot bagel on the way to work.,Positive
Enjoy!,Positive
I would have gotten some cole slaw and a knish if my stomach had more space.,Neutral
"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",Neutral
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,Positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",Neutral
They've the best desserts and mixed drinks as well as snack foods.,Positive
We thought that this place is using too much of MSG cooking in the foods.,Negative
"Also, specify if you like your food spicy- its rather bland if you don't.",Neutral
"Bagels are ok, but be sure not to make any special requests!",Neutral
"The staff isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.",Neutral
Too bad the food wasn't of the same heritage.,Negative
I liked the food at this quasi-thai restaurant.,Positive
It's a rather cramped and busy restaurant and it closes early.,Negative
The decor is very simple but comfortable.,Neutral
The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,Positive
Decent wine at reasonable prices.,Positive
You are treated just like royality.,Positive
"The food however, is what one might expect.",Neutral
With the theater 2 blocks away we had a delicious meal in a beautiful room.,Positive
I'm amazed we haven't been kicked out of this place yet.,Neutral
I ordered the chu chu curry and my friend ordered the pad thai chicken.,Neutral
We had the most wonderful waitress.,Positive
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",Neutral
Nicky the Nose at the bar is a treat.,Neutral
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",Positive
Horrible food and Horrible service.,Negative
"If you go for the pre-theatre menu, it's an even greater deal.",Positive
We will go back every time we are in the City.,Positive
IT WAS HORRIBLE.,Negative
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",Neutral
"But people from Sichuan will die for it)  - Chongqing Hot Pot, chongqing was the biggest city of Sichuan, now became an independent province.",Positive
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",Neutral
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",Neutral
We will be back.,Positive
The Thai food is good.,Positive
Truly the mark of an attentive waiter.,Positive
Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,Positive
I loved everythig about it-especially the shows and actors.,Positive
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",Positive
I'll keep this short.,Neutral
What generous portions!,Positive
"Great vibe, lots of people.",Positive
The pizza was really good.,Positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",Positive
"To me it exemplifies Soho, cute, artsy, interesting.",Positive
The entertainment was great they have shows that go on through out the dinner.,Neutral
"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",Neutral
An excellent service,Positive
And comparing it to the Chinatown restaurants is simply not fair.,Neutral
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",Neutral
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,Positive
No free drink.,Neutral
Raga stands out with an interesting fusion of French and Indian cooking.,Positive
"The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.",Positive
It is thick and slightly soggy.,Negative
The dinner menu is diverse and top-notch as well.,Positive
I would highly recommend this place to everyone for any occasion!,Positive
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",Neutral
you can actually get 2 salads worth if u take it home and add it to some lettuce!,Neutral
Suan is a great place that I often take my friends (classmates) too.,Positive
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",Neutral
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",Positive
The only thing more wonderful than the food (which is exceptional) is the service.,Positive
"Good crowd, good outdoor seating, with a hip japanese vibe.",Positive
Service was very prompt but slightly rushed.,Neutral
"Ambience is so cute and quaint, good for business although we were there on vacation.",Positive
Owner must have coem on this website to give himself credit.,Neutral
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Positive
We always have a delicious meal and always leave feeling satisfied.,Positive
"The food was really good, I had the onion soup and it was one of the best ever.",Positive
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",Neutral
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",Neutral
The sushi was awful!,Negative
A must for all the Dosa lovers.,Positive
Every waitress and customer who passed by me bumped into my chair.,Neutral
The jukebox plays everything from Italian Opera to The Strokes.,Neutral
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,Neutral
Great people watching as others do the same to you.,Positive
I will never visit this restaurant again.,Negative
I went to Ruby Foos for my birthday and enjoyed our experience there.,Positive
Their sake martini is wonderful.,Positive
