topic,keywords,severity,suggested_actions,follow_up_metric
Slow service / long waiting time,slow service;long wait;waiting;queue;delay;late seating,medium,Add staff during peak hours;Introduce queue display or SMS alerts;Pre-batch popular items;Time-and-motion check for bottlenecks,Average wait time (min); % seated <10min
Rude or unprofessional staff,rude staff;impolite;unprofessional;bad attitude,high,Immediate coaching;Customer service refresher;Recognize good behavior;Escalation protocol for repeat offenders,Complaints per 100 orders; CSAT on service
Cold food / not served hot,cold food;not hot;lukewarm,medium,Check pass times;Use heat lamps appropriately;Plate-to-table timing SOP;Insulated delivery packaging,Remakes due to temp; Kitchen pass time (min)
Undercooked / overcooked food,undercooked;raw;overcooked;burnt,high,Retrain on cook temps;Calibrate grills/ovens;Introduce final temp checks for risky items,% remakes due to cook level; Food safety incidents
Small portions / value concerns,small portion;too little;not enough;poor value,medium,Recalibrate portioning tools;Menu photo/portion alignment;Bundle deals for value seekers,Portion variance (g/ml); Value perception CSAT
High prices / expensive,expensive;overpriced;pricey,low,"Highlight value items;Limited-time promos;Menu engineering (stars, plowhorses, puzzles)",Promo redemption%; Price-sensitivity feedback
Incorrect order / missing items,wrong order;missing item;incorrect;forgot,high,Introduce order verification checklist;Name items aloud before handoff;Label bags/boxes clearly,Picking error rate; Re-delivery rate
Dirty tables / poor cleanliness,dirty table;dirty floor;unclean;messy,high,Tighten bussing schedule;Zone responsibilities;Visible cleaning log for guests,Cleanliness audit score; Time-to-clean (min)
Noisy / loud environment,too loud;noisy;loud music,low,Lower volume;Add soft furnishings;Seat families away from bar area,Noise dB at peak; Seating satisfaction
Reservation / seating issues,reservation lost;no table;overbooked;seating problem,medium,Adopt reservation system with confirmations;Hold-back policy;Clear walk-in queue rules,No-show%; Seating SLA adherence
"Food safety / contamination (e.g., hair, foreign object)",hair in food;plastic in food;foreign object;contamination,critical,"Immediate incident protocol;Root-cause analysis;PPE checks (hairnets, gloves);Retraining",Incidents per 10k dishes; Corrective actions closed
Allergen / cross-contact concerns,allergy;allergic;cross contamination;gluten contamination;nut contamination,critical,Dedicated prep utensils/areas;Allergen menu icons;Server script to confirm allergens;Chef final verification,Allergen incidents; Staff allergen training completion
Overly salty / spicy / bland taste,too salty;too spicy;bland;no flavor,low,Standardize seasoning measures;Offer mild/spicy options;Taste panel spot checks,Taste-related complaints per 100 orders
Delivery late / poor packaging,late delivery;delivery delay;leaked;spilled;poor packaging,medium,Partner SLAs;Heat-seal/tamper-evident packs;Sauce cups with lids;Route optimization,On-time delivery%; Packaging failure rate
"Beverage issues (watery drinks, no ice, flat soda)",watery drink;no ice;flat soda;warm drink,low,Calibrate syrup:carbonation;Ice machine maintenance;Pre-chill glasses,Drink remake rate
Restroom cleanliness,dirty restroom;bathroom dirty;restroom smell,high,Timed cleaning rounds;Supply checklist;Manager spot checks,Restroom audit score; Complaint count
Parking / access issues,no parking;hard to park;bad parking,low,Validate parking with partners;Signage for pickup spots;Curbside pickup windows,Pickup time (min); Curbside usage%
Seating comfort / temperature (too hot/cold),uncomfortable seat;too cold;too hot;AC;heater,low,Rebalance HVAC zones;Draft blockers;Cushions or alternative seating,Comfort CSAT; Temperature variance (°C)
Menu limitations / dietary options,no vegetarian;no vegan;no gluten free;limited menu,medium,Add 1–2 dietary-friendly dishes;Mark allergens;Rotate seasonal specials,Diet-friendly item sales; Related complaints
Misleading menu / item not available,item unavailable;sold out;not as described;misleading menu,medium,86-items board visible;Real-time menu updates;Photo/description alignment review,Stockout frequency; Misrepresentation complaints
Unfriendly or inattentive service,unfriendly;ignored;inattentive;didn't check on us;no refill,high,Table touch policy every 10–15 min;Refill checklist;Service scripting for greetings and checks,Server visit interval (min); CSAT on service attentiveness
Long wait for bill / payment issues,bill took too long;waited for check;slow payment;card machine issue,medium,Server prompt for bill offer;Portable POS devices;Backup card terminal and cash float check,Avg time from request to bill (min); Payment failure rate
Wrong billing / unexpected charges,overcharged;wrong bill;extra charge;service charge not informed,high,Two-person bill verification;Menu clearly notes fees;Dispute resolution script and comp policy,Billing error rate; Refund/adjustment count
Menu item unavailable / sold out,sold out;not available;out of stock;ran out,medium,Real-time 86 board;Server briefing pre-shift;Offer substitutions and inform ETA,Stockout frequency; Substitution acceptance%
Food not as described / presentation poor,not as described;didn't look like photo;poor presentation,medium,Align photos with plating;QC at pass;Staff training on dish description accuracy,Mismatched-expectation complaints; Photo-to-plate audit score
Stale or low-quality bread/appetizers,stale bread;old bread;bad appetizer;not fresh starter,medium,Shorten holding times;Batch bake schedule;Swap supplier if needed,Bread waste vs freshness score; Starter complaint rate
Dessert quality issues,bad dessert;too sweet;dry cake;ice cream melted,low,Adjust recipes sweetness/moisture;Serve desserts last minute;Check freezer temps,Dessert complaint rate; Freezer temp logs
Coffee/tea temperature or quality,cold coffee;weak tea;bitter coffee;stale coffee,low,Brew cycle timers;Grind calibration;Water temp checks;Discard time labels,Drink remake rate; Brew-to-serve time
Refill delays (water/soft drinks),no water refill;empty glass;no refill;refill slow,low,Refill rounds schedule;Pitchers on stations;Signal flags for guests,Refill response time; CSAT on beverage service
Utensils/plates dirty,dirty fork;dirty spoon;stained plate;unclean dishes,high,Dishwasher maintenance;Spot-check station;Immediate replacement policy,Dish cleanliness audit; Returns due to dirtyware
Table wobble / seating comfort,wobbly table;unstable table;uncomfortable chair,low,Install table levelers;Regular floor checks;Replace worn chairs/cushions,Facilities tickets closed; Comfort CSAT
Temperature too hot/cold inside,too cold inside;too hot inside;AC too strong;drafty,low,Adjust HVAC setpoints;Seat maps to avoid drafts;Door curtains/vestibule,Temperature variance (°C); Comfort CSAT
Music too loud / wrong genre,music too loud;loud music;bad music;wrong music,low,Set dB targets;Playlist dayparting;Staff controls with guidelines,Ambient dB readings; Music-related complaints
Bad smell / odor issues,bad smell;odor;smelly;sewage smell,high,Identify source (drains/grease trap);Increase ventilation;Deodorize and deep clean,Odor incident logs; Resolution time
Insects/pests sighted,flies;cockroach;ants;bug,critical,Immediate pest control call;Seal entry points;Food cover SOP;Staff hygiene reminder,Pest sightings per week; Pest control reports
Crowded / cramped seating,too crowded;cramped;no space;tables too close,medium,Rearrange floor plan;Limit covers at peak;Stagger reservations,Avg table spacing (cm); Seating satisfaction
Kid-friendliness / lack of high chairs,no high chair;not kid friendly;no kids menu,low,Stock high chairs;Add kids menu options;Coloring sheets to occupy wait time,Family CSAT; High chair availability rate
Vegetarian/vegan/gluten-free options missing,no vegetarian;no vegan;no gluten-free;dietary options missing,medium,Add labeled dietary dishes;Cross-contact training;Menu icons and server scripts,Sales of diet-friendly items; Related complaints
Accessibility / wheelchair access issues,no wheelchair access;stairs only;no ramp;no accessible restroom,high,Install ramp/handrails;Accessible restroom standards;Train staff for accessible seating protocols,Accessibility audit score; Incident reports
Parking difficulties,no parking;hard to park;parking full,low,Partner with nearby lots;Signage for pickup spots;Validate parking during peak times,Parking complaints; Curbside pickup usage%
Reservation problems / overbooking,reservation lost;overbooked;no table despite booking,high,Digital reservation confirmations;Hold-back strategy;Escalation path with comps for misses,Reservation miss rate; Compensation cost
Ambiguity in service charge/tips,tip confusion;service charge unclear;gratuity not clear,medium,Menu disclosure near totals;Server explanation script;Receipt breakdown formatting,Billing queries; Chargebacks
Wi-Fi not working / slow,no wifi;wifi slow;wifi password not working,low,Guest Wi-Fi SSID with captive portal;Bandwidth checks;Visible password signage,Wi-Fi ticket count; Speed test logs
View/ambience not as expected,bad view;no view;dark lighting;poor ambience,low,Seat-by-preference notes;Lighting zones;Decor refresh plan,Ambience CSAT; Seat preference fulfillment%
Takeaway/packaging missing sauces or cutlery,missing sauce;no cutlery;forgot napkins,medium,Packing checklist;Sauce/utensil station;Label bags with included items,Missing item rate; Re-delivery/comp count
Online ordering system issues,app crashed;website error;can't order online;checkout failed,medium,Test user flows weekly;Maintain backup phone ordering;Error logging and quick fixes;Mobile optimization,System uptime%; Error rate per 1k orders
Gift card / voucher problems,gift card declined;voucher not working;code invalid;can't redeem,medium,Train staff on redemption;Clear terms on cards;System sync checks;Manual override protocol,Redemption failure rate; Support tickets
Loyalty program issues,points not added;rewards missing;account error;can't sign up,low,System audit monthly;Staff training on enrollment;Clear program terms;Support escalation path,Enrollment completion%; Points dispute rate
Bar service delays,waited too long for drink;bartender slow;bar overcrowded,medium,Add bartender during peak;Optimize bar layout;Pre-batch cocktails;Server bar pickup area,Drink prep time (min); Bar order backlog
Cocktail quality inconsistent,drink tastes different;too weak;too strong;wrong recipe,medium,Standardize recipes with jiggers;Bartender training;Taste checks;Recipe cards visible,Cocktail remake rate; Recipe compliance audit
Draft beer issues,flat beer;wrong beer served;cloudy beer;tastes off,medium,Line cleaning schedule;Check CO2/nitrogen;Temperature monitoring;First-pour waste protocol,Beer waste%; Line cleaning logs
Wine service issues,wrong wine;wine corked;served at wrong temp;small pour,medium,Staff wine training;Temp storage checks;Sommelier guidelines;Pour measure calibration,Wine complaints per 100 bottles; Staff cert %
Happy hour confusion,wrong price charged;items not available;unclear timing,low,Clear happy hour signage;POS auto-pricing;Staff briefing sheet;Menu highlights,Happy hour pricing errors; Promotion awareness%
Group reservation complications,party size wrong;split seating;unclear policies;deposit issues,high,Confirmation 24hrs prior;Clear party size policy;Linked table system;Deposit terms upfront,Group booking accuracy%; Cancellation rate
Private event / catering disappointment,food not as promised;setup late;wrong quantity;poor coordination,high,Event manager checklist;Tasting before event;Timeline with buffer;Post-event debrief,Event satisfaction score; Issue resolution time
No-show reservation held too long,table held too long;couldn't seat walk-ins;wasted reservation,medium,15-min grace period policy;SMS confirmation;Auto-release protocol;Waitlist priority system,Table turn rate; No-show%
Birthday/celebration service missed,forgot cake;no singing;didn't acknowledge;poor handling,medium,Reservation notes system;Staff briefing pre-shift;Celebration protocol;Comp dessert guidelines,Celebration acknowledgment%; Guest satisfaction
Language barrier / communication issues,staff didn't understand;language problem;can't explain order,medium,Picture menus;Multi-language key phrases;Translation app;Patient service training,Language-related complaints; Non-English guest %
Dress code confusion,turned away at door;dress code unclear;felt judged,low,Clear dress code on website/confirmation;Door signage;Graceful enforcement script,Dress code disputes; Website clarity score
Splitting bill difficulties,couldn't split bill;took too long;wrong split;card limit,medium,POS split function training;Portable terminals;Set table expectations early;Itemized splits,Split payment time (min); Error rate
Payment method limitations,cash only;no Amex;card reader down;no contactless,medium,Display accepted payments clearly;Backup terminals;Update website;ATM partnership info,Payment failure rate; Method mix%
Tipping pressure / suggested tips too high,tip suggestions too high;felt pressured;tip auto-added,medium,Adjust tip suggestion%;Clear auto-gratuity policy for groups;Receipt formatting review,Tip dispute rate; Average tip%
Takeout order wrong / missing items,wrong item in bag;missing side;incorrect modifications,high,Bag check protocol;Receipt stapled visible;Name items during pack;Photo documentation,Order accuracy%; Remake rate
